PSTL,STD
3.0296,2.5025
4.3776,3.8105
3.3493,3.0209
2.9124,7.8451
3.2346,7.0139
2.9871,8.6745
3.4073,9.9471
2.6683,7.2289
3.2379,3.5314
2.6829,8.8829
2.8064,7.9696
2.7392,8.7031
2.8377,2.8662
3.1648,2.309
3.464,2.7538
3.2219,2.5226
6.728,2.043
2.4651,4.1284
3.036,2.7179
2.8952,3.1463
2.4582,2.5699
2.7094,2.7494
2.6884,2.4895
2.814,2.3008
2.2231,2.1405
2.6016,2.1888
2.7829,2.2062
2.37,2.4407
2.4364,2.2291
2.4467,2.4498
2.8587,2.1492
2.7842,2.1637
2.7962,2.1687
3.2859,2.5905
2.3974,2.7911
3.0352,3.0925
3.0492,2.601
2.97,2.7911
2.6042,2.9091
2.9377,2.374
3.178,2.2921
2.5943,3.095
2.5547,2.4771
2.5431,2.4922
2.6737,2.9572
3.2021,2.265
2.5139,2.869
2.8811,2.6683
2.3202,2.4757
2.5363,3.0739
3.208,2.8826
2.9469,2.677
2.3892,2.3352
2.7194,2.7608
2.5962,3.1125
2.6785,2.3878
2.8248,2.2755
2.9975,2.6358
3.071,9.8345
2.8836,3.4369
3.1678,4.4677
3.1147,2.4031
3.259,3.6167
2.7363,2.8749
3.2862,3.0705
2.5307,2.7314
2.7219,2.7629
3.438,2.805
2.6236,3.0735
2.9826,2.3971
2.6766,2.2817
2.898,3.0604
2.5484,2.2775
3.2502,2.5604
2.8039,2.4209
2.9291,2.4103
2.7826,2.3826
2.3381,2.2825
3.0306,2.4342
3.398,2.3185
3.3064,2.3596
2.7137,2.5203
2.5379,2.3807
3.4063,2.2714
2.6761,2.4083
2.7509,2.5124
2.3962,3.1186
3.6965,2.9717
3.9264,2.285
3.097,2.5449
6.6956,2.4348
6.0891,2.8923
6.9077,2.323
6.7695,2.7509
6.5118,2.3663
8.3625,1.9077
5.7936,2.2342
2.8678,2.4853
5.9071,2.7482
2.7561,2.2692
2.2214,2.2584
6.6918,2.0917
2.8941,2.4102
2.7458,2.5699
7.1452,2.1674
6.2358,2.7198
2.0821,1.8906
2.4838,2.0226
2.443,2.3842
3.1305,2.668
2.7608,2.6995
2.4737,2.2123
2.553,2.1464
2.3673,2.3434
2.4426,2.3538
2.8923,2.4982
5.7145,2.4135
2.856,2.2211
2.8616,2.3193
7.6232,1.8847
5.8511,2.2757
2.7248,2.4065
5.8656,2.0816
2.5587,2.3913
7.5325,2.1991
5.737,2.0288
2.7347,2.5589
5.7821,2.3311
6.3034,2.1845
6.6988,2.1357
2.7346,2.9165
3.5209,2.7917
7.7395,2.1385
2.8923,2.7927
2.5662,2.5232
2.9713,2.6142
2.7407,2.748
3.1366,2.4815
2.9195,2.4524
2.5597,2.2212
2.9271,2.3073
2.6253,2.246
2.6126,2.1973
2.5625,2.1985
2.8496,2.3495
2.4992,2.6071
2.8941,2.4261
2.6513,2.1844
2.7342,2.2003
5.6305,2.3999
6.2699,2.1396
2.6944,2.266
2.6088,2.5054
2.4863,2.43
2.7206,4.4992
2.6784,5.8329
2.5344,7.3537
3.0042,5.7192
2.2439,5.8582
2.1155,3.9674
2.1448,2.1819
6.5332,1.8599
2.3623,2.5189
2.4821,2.326
3.3823,2.969
3.2639,2.8456
6.5319,1.9999
2.4638,2.3119
2.3074,2.1771
2.4906,2.2323
2.2652,2.2015
2.4685,2.1799
2.4476,2.2753
2.4304,2.7817
2.6715,2.2013
2.5172,2.2475
2.6818,2.1437
2.5196,2.6654
2.6026,2.2157
3.173,2.3123
2.4371,1.8658
2.8698,2.1656
2.207,2.3599
3.0004,2.7542
2.2507,2.6118
2.5087,2.4285
2.233,1.9399
2.7845,2.0593
2.5268,2.2306
2.5457,2.7904
2.7538,2.3573
2.6336,2.3619
2.584,2.5883
5.7678,2.1989
2.506,2.4416
2.3206,2.2102
2.6077,2.4455
2.6367,2.1914
6.9713,1.8468
6.0277,2.0135
3.2334,2.9261
3.3028,2.9538
2.7256,2.603
2.9896,2.5941
2.8979,2.4435
3.3082,2.6319
2.9926,2.4098
3.0644,3.1379
2.8782,2.8683
2.9633,2.4207
3.4389,2.8535
6.1378,2.4395
5.9454,2.0887
3.5648,3.306
4.8481,2.6472
7.8902,2.2481
3.8821,2.4643
8.6697,2.339
2.6492,2.2497
2.6155,3.8803
3.3071,2.3758
2.8976,2.8867
3.916,3.4799
3.1282,2.6403
2.7587,2.2639
2.7421,2.9515
3.4003,2.3239
3.0106,3.4775
2.7689,2.268
2.6215,2.483
3.5237,3.236
2.8165,3.6195
2.4868,2.3714
3.0709,2.8198
2.6491,2.2779
